commented;modifiers;parameterAmount;loc;comment;code
false;public;1;5;;@Override public InternalAggregation buildAggregation(long owningBucketOrdinal) throws IOException {     return new InternalParent(name, bucketDocCount(owningBucketOrdinal), bucketAggregations(owningBucketOrdinal), pipelineAggregators(), metaData()). }
false;public;0;5;;@Override public InternalAggregation buildEmptyAggregation() {     return new InternalParent(name, 0, buildEmptySubAggregations(), pipelineAggregators(), metaData()). }
