# id;timestamp;commentText;codeText;commentWords;codeWords
TaskStateManagerImpl -> @Override 	public void notifyCheckpointComplete(long checkpointId) throws Exception;1506517852;Tracking when local state can be disposed.;@Override_	public void notifyCheckpointComplete(long checkpointId) throws Exception {_		_	};tracking,when,local,state,can,be,disposed;override,public,void,notify,checkpoint,complete,long,checkpoint,id,throws,exception
TaskStateManagerImpl -> @Override 	public void notifyCheckpointComplete(long checkpointId) throws Exception;1517924641;Tracking when local state can be disposed.;@Override_	public void notifyCheckpointComplete(long checkpointId) throws Exception {_		localStateStore.confirmCheckpoint(checkpointId)__	};tracking,when,local,state,can,be,disposed;override,public,void,notify,checkpoint,complete,long,checkpoint,id,throws,exception,local,state,store,confirm,checkpoint,checkpoint,id
TaskStateManagerImpl -> @Override 	public void notifyCheckpointComplete(long checkpointId) throws Exception;1519613693;Tracking when local state can be disposed.;@Override_	public void notifyCheckpointComplete(long checkpointId) throws Exception {_		localStateStore.confirmCheckpoint(checkpointId)__	};tracking,when,local,state,can,be,disposed;override,public,void,notify,checkpoint,complete,long,checkpoint,id,throws,exception,local,state,store,confirm,checkpoint,checkpoint,id
TaskStateManagerImpl -> @Override 	public void notifyCheckpointComplete(long checkpointId) throws Exception;1519664594;Tracking when local state can be disposed.;@Override_	public void notifyCheckpointComplete(long checkpointId) throws Exception {_		localStateStore.confirmCheckpoint(checkpointId)__	};tracking,when,local,state,can,be,disposed;override,public,void,notify,checkpoint,complete,long,checkpoint,id,throws,exception,local,state,store,confirm,checkpoint,checkpoint,id
TaskStateManagerImpl -> @Override 	public void notifyCheckpointComplete(long checkpointId) throws Exception;1526483368;Tracking when local state can be disposed.;@Override_	public void notifyCheckpointComplete(long checkpointId) throws Exception {_		localStateStore.confirmCheckpoint(checkpointId)__	};tracking,when,local,state,can,be,disposed;override,public,void,notify,checkpoint,complete,long,checkpoint,id,throws,exception,local,state,store,confirm,checkpoint,checkpoint,id
