# id;timestamp;commentText;codeText;commentWords;codeWords
Phase -> public TimeValue getAfter();1535665876;@return the age of the index when the index should move to this_{@link Phase}.;public TimeValue getAfter() {_        return after__    };return,the,age,of,the,index,when,the,index,should,move,to,this,link,phase;public,time,value,get,after,return,after
Phase -> public TimeValue getAfter();1536080587;@return the age of the index when the index should move to this_{@link Phase}.;public TimeValue getAfter() {_        return after__    };return,the,age,of,the,index,when,the,index,should,move,to,this,link,phase;public,time,value,get,after,return,after
Phase -> public Map<String, LifecycleAction> getActions();1535665876;@return a {@link Map} of the {@link LifecycleAction}s to run when during_this {@link Phase}.;public Map<String, LifecycleAction> getActions() {_        return actions__    };return,a,link,map,of,the,link,lifecycle,action,s,to,run,when,during,this,link,phase;public,map,string,lifecycle,action,get,actions,return,actions
Phase -> public Map<String, LifecycleAction> getActions();1536080587;@return a {@link Map} of the {@link LifecycleAction}s to run when during_this {@link Phase}.;public Map<String, LifecycleAction> getActions() {_        return actions__    };return,a,link,map,of,the,link,lifecycle,action,s,to,run,when,during,this,link,phase;public,map,string,lifecycle,action,get,actions,return,actions
Phase -> public Map<String, LifecycleAction> getActions();1536464455;@return a {@link Map} of the {@link LifecycleAction}s to run when during_this {@link Phase}.;public Map<String, LifecycleAction> getActions() {_        return actions__    };return,a,link,map,of,the,link,lifecycle,action,s,to,run,when,during,this,link,phase;public,map,string,lifecycle,action,get,actions,return,actions
Phase -> public Map<String, LifecycleAction> getActions();1540929242;@return a {@link Map} of the {@link LifecycleAction}s to run when during_this {@link Phase}.;public Map<String, LifecycleAction> getActions() {_        return actions__    };return,a,link,map,of,the,link,lifecycle,action,s,to,run,when,during,this,link,phase;public,map,string,lifecycle,action,get,actions,return,actions
Phase -> public Map<String, LifecycleAction> getActions();1548880315;@return a {@link Map} of the {@link LifecycleAction}s to run when during_this {@link Phase}.;public Map<String, LifecycleAction> getActions() {_        return actions__    };return,a,link,map,of,the,link,lifecycle,action,s,to,run,when,during,this,link,phase;public,map,string,lifecycle,action,get,actions,return,actions
Phase -> public Phase(String name, TimeValue minimumAge, Map<String, LifecycleAction> actions);1536464455;@param name_the name of this {@link Phase}._@param minimumAge_the age of the index when the index should move to this_{@link Phase}._@param actions_a {@link Map} of the {@link LifecycleAction}s to run when_during this {@link Phase}. The keys in this map are the associated_action names.;public Phase(String name, TimeValue minimumAge, Map<String, LifecycleAction> actions) {_        this.name = name__        if (minimumAge == null) {_            this.minimumAge = TimeValue.ZERO__        } else {_            this.minimumAge = minimumAge__        }_        this.actions = actions__    };param,name,the,name,of,this,link,phase,param,minimum,age,the,age,of,the,index,when,the,index,should,move,to,this,link,phase,param,actions,a,link,map,of,the,link,lifecycle,action,s,to,run,when,during,this,link,phase,the,keys,in,this,map,are,the,associated,action,names;public,phase,string,name,time,value,minimum,age,map,string,lifecycle,action,actions,this,name,name,if,minimum,age,null,this,minimum,age,time,value,zero,else,this,minimum,age,minimum,age,this,actions,actions
Phase -> public Phase(String name, TimeValue minimumAge, Map<String, LifecycleAction> actions);1540929242;@param name_the name of this {@link Phase}._@param minimumAge_the age of the index when the index should move to this_{@link Phase}._@param actions_a {@link Map} of the {@link LifecycleAction}s to run when_during this {@link Phase}. The keys in this map are the associated_action names.;public Phase(String name, TimeValue minimumAge, Map<String, LifecycleAction> actions) {_        this.name = name__        if (minimumAge == null) {_            this.minimumAge = TimeValue.ZERO__        } else {_            this.minimumAge = minimumAge__        }_        this.actions = actions__    };param,name,the,name,of,this,link,phase,param,minimum,age,the,age,of,the,index,when,the,index,should,move,to,this,link,phase,param,actions,a,link,map,of,the,link,lifecycle,action,s,to,run,when,during,this,link,phase,the,keys,in,this,map,are,the,associated,action,names;public,phase,string,name,time,value,minimum,age,map,string,lifecycle,action,actions,this,name,name,if,minimum,age,null,this,minimum,age,time,value,zero,else,this,minimum,age,minimum,age,this,actions,actions
Phase -> public Phase(String name, TimeValue minimumAge, Map<String, LifecycleAction> actions);1548880315;@param name_the name of this {@link Phase}._@param minimumAge_the age of the index when the index should move to this_{@link Phase}._@param actions_a {@link Map} of the {@link LifecycleAction}s to run when_during this {@link Phase}. The keys in this map are the associated_action names.;public Phase(String name, TimeValue minimumAge, Map<String, LifecycleAction> actions) {_        this.name = name__        if (minimumAge == null) {_            this.minimumAge = TimeValue.ZERO__        } else {_            this.minimumAge = minimumAge__        }_        this.actions = actions__    };param,name,the,name,of,this,link,phase,param,minimum,age,the,age,of,the,index,when,the,index,should,move,to,this,link,phase,param,actions,a,link,map,of,the,link,lifecycle,action,s,to,run,when,during,this,link,phase,the,keys,in,this,map,are,the,associated,action,names;public,phase,string,name,time,value,minimum,age,map,string,lifecycle,action,actions,this,name,name,if,minimum,age,null,this,minimum,age,time,value,zero,else,this,minimum,age,minimum,age,this,actions,actions
Phase -> public Phase(String name, TimeValue after, Map<String, LifecycleAction> actions);1535665876;@param name_the name of this {@link Phase}._@param after_the age of the index when the index should move to this_{@link Phase}._@param actions_a {@link Map} of the {@link LifecycleAction}s to run when_during this {@link Phase}. The keys in this map are the associated_action names.;public Phase(String name, TimeValue after, Map<String, LifecycleAction> actions) {_        this.name = name__        if (after == null) {_            this.after = TimeValue.ZERO__        } else {_            this.after = after__        }_        this.actions = actions__    };param,name,the,name,of,this,link,phase,param,after,the,age,of,the,index,when,the,index,should,move,to,this,link,phase,param,actions,a,link,map,of,the,link,lifecycle,action,s,to,run,when,during,this,link,phase,the,keys,in,this,map,are,the,associated,action,names;public,phase,string,name,time,value,after,map,string,lifecycle,action,actions,this,name,name,if,after,null,this,after,time,value,zero,else,this,after,after,this,actions,actions
