commented;modifiers;parameterAmount;loc;comment;code
false;public,abstract;0;1;;public abstract T getObject() throws Exception.
false;public;0;3;;public boolean isSingleton() {     return true. }
false;public,abstract;0;1;;public abstract Class<? extends T> getObjectType().
