# id;timestamp;commentText;codeText;commentWords;codeWords
ConverterNotFoundException -> public TypeDescriptor getSourceType();1328020251;Returns the source type that was requested to convert from.;public TypeDescriptor getSourceType() {_		return this.sourceType__	};returns,the,source,type,that,was,requested,to,convert,from;public,type,descriptor,get,source,type,return,this,source,type
ConverterNotFoundException -> public TypeDescriptor getSourceType();1335774711;Returns the source type that was requested to convert from.;public TypeDescriptor getSourceType() {_		return this.sourceType__	};returns,the,source,type,that,was,requested,to,convert,from;public,type,descriptor,get,source,type,return,this,source,type
ConverterNotFoundException -> public TypeDescriptor getSourceType();1448831836;Return the source type that was requested to convert from.;public TypeDescriptor getSourceType() {_		return this.sourceType__	};return,the,source,type,that,was,requested,to,convert,from;public,type,descriptor,get,source,type,return,this,source,type
ConverterNotFoundException -> public TypeDescriptor getSourceType();1448883390;Return the source type that was requested to convert from.;public TypeDescriptor getSourceType() {_		return this.sourceType__	};return,the,source,type,that,was,requested,to,convert,from;public,type,descriptor,get,source,type,return,this,source,type
ConverterNotFoundException -> public TypeDescriptor getSourceType();1465462155;Return the source type that was requested to convert from.;public TypeDescriptor getSourceType() {_		return this.sourceType__	};return,the,source,type,that,was,requested,to,convert,from;public,type,descriptor,get,source,type,return,this,source,type
ConverterNotFoundException -> public ConverterNotFoundException(@Nullable TypeDescriptor sourceType, TypeDescriptor targetType);1496837955;Create a new conversion executor not found exception._@param sourceType the source type requested to convert from_@param targetType the target type requested to convert to;public ConverterNotFoundException(@Nullable TypeDescriptor sourceType, TypeDescriptor targetType) {_		super("No converter found capable of converting from type [" + sourceType + "] to type [" + targetType + "]")__		this.sourceType = sourceType__		this.targetType = targetType__	};create,a,new,conversion,executor,not,found,exception,param,source,type,the,source,type,requested,to,convert,from,param,target,type,the,target,type,requested,to,convert,to;public,converter,not,found,exception,nullable,type,descriptor,source,type,type,descriptor,target,type,super,no,converter,found,capable,of,converting,from,type,source,type,to,type,target,type,this,source,type,source,type,this,target,type,target,type
ConverterNotFoundException -> public ConverterNotFoundException(@Nullable TypeDescriptor sourceType, TypeDescriptor targetType);1498780456;Create a new conversion executor not found exception._@param sourceType the source type requested to convert from_@param targetType the target type requested to convert to;public ConverterNotFoundException(@Nullable TypeDescriptor sourceType, TypeDescriptor targetType) {_		super("No converter found capable of converting from type [" + sourceType + "] to type [" + targetType + "]")__		this.sourceType = sourceType__		this.targetType = targetType__	};create,a,new,conversion,executor,not,found,exception,param,source,type,the,source,type,requested,to,convert,from,param,target,type,the,target,type,requested,to,convert,to;public,converter,not,found,exception,nullable,type,descriptor,source,type,type,descriptor,target,type,super,no,converter,found,capable,of,converting,from,type,source,type,to,type,target,type,this,source,type,source,type,this,target,type,target,type
ConverterNotFoundException -> public TypeDescriptor getTargetType();1328020251;Returns the target type that was requested to convert to.;public TypeDescriptor getTargetType() {_		return this.targetType__	};returns,the,target,type,that,was,requested,to,convert,to;public,type,descriptor,get,target,type,return,this,target,type
ConverterNotFoundException -> public TypeDescriptor getTargetType();1335774711;Returns the target type that was requested to convert to.;public TypeDescriptor getTargetType() {_		return this.targetType__	};returns,the,target,type,that,was,requested,to,convert,to;public,type,descriptor,get,target,type,return,this,target,type
ConverterNotFoundException -> public TypeDescriptor getTargetType();1448831836;Return the target type that was requested to convert to.;public TypeDescriptor getTargetType() {_		return this.targetType__	};return,the,target,type,that,was,requested,to,convert,to;public,type,descriptor,get,target,type,return,this,target,type
ConverterNotFoundException -> public TypeDescriptor getTargetType();1448883390;Return the target type that was requested to convert to.;public TypeDescriptor getTargetType() {_		return this.targetType__	};return,the,target,type,that,was,requested,to,convert,to;public,type,descriptor,get,target,type,return,this,target,type
ConverterNotFoundException -> public TypeDescriptor getTargetType();1465462155;Return the target type that was requested to convert to.;public TypeDescriptor getTargetType() {_		return this.targetType__	};return,the,target,type,that,was,requested,to,convert,to;public,type,descriptor,get,target,type,return,this,target,type
