# id;timestamp;commentText;codeText;commentWords;codeWords
IllegalHeaderException -> public IllegalHeaderException();1349476580;;public IllegalHeaderException() {_        super()__    };;public,illegal,header,exception,super
IllegalHeaderException -> public IllegalHeaderException();1354318669;;public IllegalHeaderException() {_    };;public,illegal,header,exception
IllegalHeaderException -> public IllegalHeaderException();1415211488;;public IllegalHeaderException() {_    };;public,illegal,header,exception
IllegalHeaderException -> public IllegalHeaderException(String message);1349476580;@param message;public IllegalHeaderException(String message) {_        super(message)__    };param,message;public,illegal,header,exception,string,message,super,message
IllegalHeaderException -> public IllegalHeaderException(String message);1354318669;@param message;public IllegalHeaderException(String message) {_        super(message)__    };param,message;public,illegal,header,exception,string,message,super,message
IllegalHeaderException -> public IllegalHeaderException(String message);1415211488;@param message;public IllegalHeaderException(String message) {_        super(message)__    };param,message;public,illegal,header,exception,string,message,super,message
IllegalHeaderException -> public IllegalHeaderException(String message, Throwable cause);1349476580;@param message_@param cause;public IllegalHeaderException(String message, Throwable cause) {_        super(message, cause)__    };param,message,param,cause;public,illegal,header,exception,string,message,throwable,cause,super,message,cause
IllegalHeaderException -> public IllegalHeaderException(String message, Throwable cause);1354318669;@param message_@param cause;public IllegalHeaderException(String message, Throwable cause) {_        super(message, cause)__    };param,message,param,cause;public,illegal,header,exception,string,message,throwable,cause,super,message,cause
IllegalHeaderException -> public IllegalHeaderException(String message, Throwable cause);1415211488;@param message_@param cause;public IllegalHeaderException(String message, Throwable cause) {_        super(message, cause)__    };param,message,param,cause;public,illegal,header,exception,string,message,throwable,cause,super,message,cause
IllegalHeaderException -> public IllegalHeaderException(Throwable cause);1349476580;@param cause;public IllegalHeaderException(Throwable cause) {_        super(cause)__    };param,cause;public,illegal,header,exception,throwable,cause,super,cause
IllegalHeaderException -> public IllegalHeaderException(Throwable cause);1354318669;@param cause;public IllegalHeaderException(Throwable cause) {_        super(cause)__    };param,cause;public,illegal,header,exception,throwable,cause,super,cause
IllegalHeaderException -> public IllegalHeaderException(Throwable cause);1415211488;@param cause;public IllegalHeaderException(Throwable cause) {_        super(cause)__    };param,cause;public,illegal,header,exception,throwable,cause,super,cause
