# id;timestamp;commentText;codeText;commentWords;codeWords
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias);1524684173;Adds an alias to the index.__@param indices The indices_@param alias   The alias;public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias);1529082965;Adds an alias to the index.__@param indices The indices_@param alias   The alias;public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias);1534362961;Adds an alias to the index.__@param indices The indices_@param alias   The alias;public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAliasAction(AliasActions action);1524684173;Adds an alias action to the request.__@param action The alias action;public IndicesAliasesRequestBuilder addAliasAction(AliasActions action) {_        request.addAliasAction(action)__        return this__    };adds,an,alias,action,to,the,request,param,action,the,alias,action;public,indices,aliases,request,builder,add,alias,action,alias,actions,action,request,add,alias,action,action,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAliasAction(AliasActions action);1529082965;Adds an alias action to the request.__@param action The alias action;public IndicesAliasesRequestBuilder addAliasAction(AliasActions action) {_        request.addAliasAction(action)__        return this__    };adds,an,alias,action,to,the,request,param,action,the,alias,action;public,indices,aliases,request,builder,add,alias,action,alias,actions,action,request,add,alias,action,action,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAliasAction(AliasActions action);1534362961;Adds an alias action to the request.__@param action The alias action;public IndicesAliasesRequestBuilder addAliasAction(AliasActions action) {_        request.addAliasAction(action)__        return this__    };adds,an,alias,action,to,the,request,param,action,the,alias,action;public,indices,aliases,request,builder,add,alias,action,alias,actions,action,request,add,alias,action,action,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias, String filter);1524684173;Adds an alias to the index.__@param index  The index_@param alias  The alias_@param filter The filter;public IndicesAliasesRequestBuilder addAlias(String index, String alias, String filter) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias).filter(filter))__        return this__    };adds,an,alias,to,the,index,param,index,the,index,param,alias,the,alias,param,filter,the,filter;public,indices,aliases,request,builder,add,alias,string,index,string,alias,string,filter,request,add,alias,action,alias,actions,add,index,index,alias,alias,filter,filter,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias, String filter);1529082965;Adds an alias to the index.__@param index  The index_@param alias  The alias_@param filter The filter;public IndicesAliasesRequestBuilder addAlias(String index, String alias, String filter) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias).filter(filter))__        return this__    };adds,an,alias,to,the,index,param,index,the,index,param,alias,the,alias,param,filter,the,filter;public,indices,aliases,request,builder,add,alias,string,index,string,alias,string,filter,request,add,alias,action,alias,actions,add,index,index,alias,alias,filter,filter,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias, String filter);1534362961;Adds an alias to the index.__@param index  The index_@param alias  The alias_@param filter The filter;public IndicesAliasesRequestBuilder addAlias(String index, String alias, String filter) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias).filter(filter))__        return this__    };adds,an,alias,to,the,index,param,index,the,index,param,alias,the,alias,param,filter,the,filter;public,indices,aliases,request,builder,add,alias,string,index,string,alias,string,filter,request,add,alias,action,alias,actions,add,index,index,alias,alias,filter,filter,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias, Map<String, Object> filter);1524684173;Adds an alias to the index.__@param indices The indices_@param alias   The alias_@param filter  The filter;public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias, Map<String, Object> filter) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias).filter(filter))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias,param,filter,the,filter;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,map,string,object,filter,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,filter,filter,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias, Map<String, Object> filter);1529082965;Adds an alias to the index.__@param indices The indices_@param alias   The alias_@param filter  The filter;public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias, Map<String, Object> filter) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias).filter(filter))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias,param,filter,the,filter;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,map,string,object,filter,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,filter,filter,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias, Map<String, Object> filter);1534362961;Adds an alias to the index.__@param indices The indices_@param alias   The alias_@param filter  The filter;public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias, Map<String, Object> filter) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias).filter(filter))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias,param,filter,the,filter;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,map,string,object,filter,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,filter,filter,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder removeAlias(String index, String alias);1524684173;Removes an alias from the index.__@param index The index_@param alias The alias;public IndicesAliasesRequestBuilder removeAlias(String index, String alias) {_        request.addAliasAction(AliasActions.remove().index(index).alias(alias))__        return this__    };removes,an,alias,from,the,index,param,index,the,index,param,alias,the,alias;public,indices,aliases,request,builder,remove,alias,string,index,string,alias,request,add,alias,action,alias,actions,remove,index,index,alias,alias,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder removeAlias(String index, String alias);1529082965;Removes an alias from the index.__@param index The index_@param alias The alias;public IndicesAliasesRequestBuilder removeAlias(String index, String alias) {_        request.addAliasAction(AliasActions.remove().index(index).alias(alias))__        return this__    };removes,an,alias,from,the,index,param,index,the,index,param,alias,the,alias;public,indices,aliases,request,builder,remove,alias,string,index,string,alias,request,add,alias,action,alias,actions,remove,index,index,alias,alias,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder removeAlias(String index, String alias);1534362961;Removes an alias from the index.__@param index The index_@param alias The alias;public IndicesAliasesRequestBuilder removeAlias(String index, String alias) {_        request.addAliasAction(AliasActions.remove().index(index).alias(alias))__        return this__    };removes,an,alias,from,the,index,param,index,the,index,param,alias,the,alias;public,indices,aliases,request,builder,remove,alias,string,index,string,alias,request,add,alias,action,alias,actions,remove,index,index,alias,alias,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String indices[], String alias, String filter);1524684173;Adds an alias to the index.__@param indices The indices_@param alias   The alias_@param filter  The filter;public IndicesAliasesRequestBuilder addAlias(String indices[], String alias, String filter) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias).filter(filter))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias,param,filter,the,filter;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,string,filter,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,filter,filter,return,this
