commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public Map<String, UpgradeActionRequired> getActions() {     return actions. }
false;public;1;7;;@Override public boolean equals(Object o) {     if (this == o)         return true.     if (o == null || getClass() != o.getClass())         return false.     IndexUpgradeInfoResponse response = (IndexUpgradeInfoResponse) o.     return Objects.equals(actions, response.actions). }
false;public;0;4;;@Override public int hashCode() {     return Objects.hash(actions). }
false;public,static;1;3;;public static IndexUpgradeInfoResponse fromXContent(XContentParser parser) {     return PARSER.apply(parser, null). }
