commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public GangliaConfigurationNestedConfiguration getConfiguration() {     return configuration. }
false;public;1;4;;public void setConfiguration(GangliaConfigurationNestedConfiguration configuration) {     this.configuration = configuration. }
false;public;0;3;;public Boolean getResolvePropertyPlaceholders() {     return resolvePropertyPlaceholders. }
false;public;1;4;;public void setResolvePropertyPlaceholders(Boolean resolvePropertyPlaceholders) {     this.resolvePropertyPlaceholders = resolvePropertyPlaceholders. }
false;public;0;3;;public String getHost() {     return host. }
false;public;1;3;;public void setHost(String host) {     this.host = host. }
false;public;0;3;;public Integer getPort() {     return port. }
false;public;1;3;;public void setPort(Integer port) {     this.port = port. }
false;public;0;3;;public UDPAddressingMode getMode() {     return mode. }
false;public;1;3;;public void setMode(UDPAddressingMode mode) {     this.mode = mode. }
false;public;0;3;;public Integer getTtl() {     return ttl. }
false;public;1;3;;public void setTtl(Integer ttl) {     this.ttl = ttl. }
false;public;0;3;;public Boolean getWireFormat31x() {     return wireFormat31x. }
false;public;1;3;;public void setWireFormat31x(Boolean wireFormat31x) {     this.wireFormat31x = wireFormat31x. }
false;public;0;3;;public String getSpoofHostname() {     return spoofHostname. }
false;public;1;3;;public void setSpoofHostname(String spoofHostname) {     this.spoofHostname = spoofHostname. }
false;public;0;3;;public String getGroupName() {     return groupName. }
false;public;1;3;;public void setGroupName(String groupName) {     this.groupName = groupName. }
false;public;0;3;;public String getPrefix() {     return prefix. }
false;public;1;3;;public void setPrefix(String prefix) {     this.prefix = prefix. }
false;public;0;3;;public String getMetricName() {     return metricName. }
false;public;1;3;;public void setMetricName(String metricName) {     this.metricName = metricName. }
false;public;0;3;;public GMetricType getType() {     return type. }
false;public;1;3;;public void setType(GMetricType type) {     this.type = type. }
false;public;0;3;;public GMetricSlope getSlope() {     return slope. }
false;public;1;3;;public void setSlope(GMetricSlope slope) {     this.slope = slope. }
false;public;0;3;;public String getUnits() {     return units. }
false;public;1;3;;public void setUnits(String units) {     this.units = units. }
false;public;0;3;;public Integer getTmax() {     return tmax. }
false;public;1;3;;public void setTmax(Integer tmax) {     this.tmax = tmax. }
false;public;0;3;;public Integer getDmax() {     return dmax. }
false;public;1;3;;public void setDmax(Integer dmax) {     this.dmax = dmax. }
