# id;timestamp;commentText;codeText;commentWords;codeWords
ScopeFormats -> public static ScopeFormats fromConfig(Configuration config);1469183596;Creates the scope formats as defined in the given configuration__@param config The configuration that defines the formats_@return The ScopeFormats parsed from the configuration;public static ScopeFormats fromConfig(Configuration config) {_		String jmFormat = config.getString(_				ConfigConstants.METRICS_SCOPE_NAMING_JM, ScopeFormat.DEFAULT_SCOPE_JOBMANAGER_GROUP)__		String jmJobFormat = config.getString(_				ConfigConstants.METRICS_SCOPE_NAMING_JM_JOB, ScopeFormat.DEFAULT_SCOPE_JOBMANAGER_JOB_GROUP)__		String tmFormat = config.getString(_				ConfigConstants.METRICS_SCOPE_NAMING_TM, ScopeFormat.DEFAULT_SCOPE_TASKMANAGER_GROUP)__		String tmJobFormat = config.getString(_				ConfigConstants.METRICS_SCOPE_NAMING_TM_JOB, ScopeFormat.DEFAULT_SCOPE_TASKMANAGER_JOB_GROUP)__		String taskFormat = config.getString(_				ConfigConstants.METRICS_SCOPE_NAMING_TASK, ScopeFormat.DEFAULT_SCOPE_TASK_GROUP)__		String operatorFormat = config.getString(_				ConfigConstants.METRICS_SCOPE_NAMING_OPERATOR, ScopeFormat.DEFAULT_SCOPE_OPERATOR_GROUP)___		return new ScopeFormats(jmFormat, jmJobFormat, tmFormat, tmJobFormat, taskFormat, operatorFormat)__	};creates,the,scope,formats,as,defined,in,the,given,configuration,param,config,the,configuration,that,defines,the,formats,return,the,scope,formats,parsed,from,the,configuration;public,static,scope,formats,from,config,configuration,config,string,jm,format,config,get,string,config,constants,scope,format,string,jm,job,format,config,get,string,config,constants,scope,format,string,tm,format,config,get,string,config,constants,scope,format,string,tm,job,format,config,get,string,config,constants,scope,format,string,task,format,config,get,string,config,constants,scope,format,string,operator,format,config,get,string,config,constants,scope,format,return,new,scope,formats,jm,format,jm,job,format,tm,format,tm,job,format,task,format,operator,format
ScopeFormats -> public static ScopeFormats fromConfig(Configuration config);1491479253;Creates the scope formats as defined in the given configuration__@param config The configuration that defines the formats_@return The ScopeFormats parsed from the configuration;public static ScopeFormats fromConfig(Configuration config) {_		String jmFormat = config.getString(MetricOptions.SCOPE_NAMING_JM)__		String jmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_JM_JOB)__		String tmFormat = config.getString(MetricOptions.SCOPE_NAMING_TM)__		String tmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_TM_JOB)__		String taskFormat = config.getString(MetricOptions.SCOPE_NAMING_TASK)__		String operatorFormat = config.getString(MetricOptions.SCOPE_NAMING_OPERATOR)___		return new ScopeFormats(jmFormat, jmJobFormat, tmFormat, tmJobFormat, taskFormat, operatorFormat)__	};creates,the,scope,formats,as,defined,in,the,given,configuration,param,config,the,configuration,that,defines,the,formats,return,the,scope,formats,parsed,from,the,configuration;public,static,scope,formats,from,config,configuration,config,string,jm,format,config,get,string,metric,options,string,jm,job,format,config,get,string,metric,options,string,tm,format,config,get,string,metric,options,string,tm,job,format,config,get,string,metric,options,string,task,format,config,get,string,metric,options,string,operator,format,config,get,string,metric,options,return,new,scope,formats,jm,format,jm,job,format,tm,format,tm,job,format,task,format,operator,format
ScopeFormats -> public static ScopeFormats fromConfig(Configuration config);1496241592;Creates the scope formats as defined in the given configuration.__@param config The configuration that defines the formats_@return The ScopeFormats parsed from the configuration;public static ScopeFormats fromConfig(Configuration config) {_		String jmFormat = config.getString(MetricOptions.SCOPE_NAMING_JM)__		String jmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_JM_JOB)__		String tmFormat = config.getString(MetricOptions.SCOPE_NAMING_TM)__		String tmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_TM_JOB)__		String taskFormat = config.getString(MetricOptions.SCOPE_NAMING_TASK)__		String operatorFormat = config.getString(MetricOptions.SCOPE_NAMING_OPERATOR)___		return new ScopeFormats(jmFormat, jmJobFormat, tmFormat, tmJobFormat, taskFormat, operatorFormat)__	};creates,the,scope,formats,as,defined,in,the,given,configuration,param,config,the,configuration,that,defines,the,formats,return,the,scope,formats,parsed,from,the,configuration;public,static,scope,formats,from,config,configuration,config,string,jm,format,config,get,string,metric,options,string,jm,job,format,config,get,string,metric,options,string,tm,format,config,get,string,metric,options,string,tm,job,format,config,get,string,metric,options,string,task,format,config,get,string,metric,options,string,operator,format,config,get,string,metric,options,return,new,scope,formats,jm,format,jm,job,format,tm,format,tm,job,format,task,format,operator,format
ScopeFormats -> public static ScopeFormats fromConfig(Configuration config);1509372582;Creates the scope formats as defined in the given configuration.__@param config The configuration that defines the formats_@return The ScopeFormats parsed from the configuration;public static ScopeFormats fromConfig(Configuration config) {_		String jmFormat = config.getString(MetricOptions.SCOPE_NAMING_JM)__		String jmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_JM_JOB)__		String tmFormat = config.getString(MetricOptions.SCOPE_NAMING_TM)__		String tmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_TM_JOB)__		String taskFormat = config.getString(MetricOptions.SCOPE_NAMING_TASK)__		String operatorFormat = config.getString(MetricOptions.SCOPE_NAMING_OPERATOR)___		return new ScopeFormats(jmFormat, jmJobFormat, tmFormat, tmJobFormat, taskFormat, operatorFormat)__	};creates,the,scope,formats,as,defined,in,the,given,configuration,param,config,the,configuration,that,defines,the,formats,return,the,scope,formats,parsed,from,the,configuration;public,static,scope,formats,from,config,configuration,config,string,jm,format,config,get,string,metric,options,string,jm,job,format,config,get,string,metric,options,string,tm,format,config,get,string,metric,options,string,tm,job,format,config,get,string,metric,options,string,task,format,config,get,string,metric,options,string,operator,format,config,get,string,metric,options,return,new,scope,formats,jm,format,jm,job,format,tm,format,tm,job,format,task,format,operator,format
ScopeFormats -> public static ScopeFormats fromConfig(Configuration config);1509372699;Creates the scope formats as defined in the given configuration.__@param config The configuration that defines the formats_@return The ScopeFormats parsed from the configuration;public static ScopeFormats fromConfig(Configuration config) {_		String jmFormat = config.getString(MetricOptions.SCOPE_NAMING_JM)__		String jmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_JM_JOB)__		String tmFormat = config.getString(MetricOptions.SCOPE_NAMING_TM)__		String tmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_TM_JOB)__		String taskFormat = config.getString(MetricOptions.SCOPE_NAMING_TASK)__		String operatorFormat = config.getString(MetricOptions.SCOPE_NAMING_OPERATOR)___		return new ScopeFormats(jmFormat, jmJobFormat, tmFormat, tmJobFormat, taskFormat, operatorFormat)__	};creates,the,scope,formats,as,defined,in,the,given,configuration,param,config,the,configuration,that,defines,the,formats,return,the,scope,formats,parsed,from,the,configuration;public,static,scope,formats,from,config,configuration,config,string,jm,format,config,get,string,metric,options,string,jm,job,format,config,get,string,metric,options,string,tm,format,config,get,string,metric,options,string,tm,job,format,config,get,string,metric,options,string,task,format,config,get,string,metric,options,string,operator,format,config,get,string,metric,options,return,new,scope,formats,jm,format,jm,job,format,tm,format,tm,job,format,task,format,operator,format
ScopeFormats -> public static ScopeFormats fromConfig(Configuration config);1509372720;Creates the scope formats as defined in the given configuration.__@param config The configuration that defines the formats_@return The ScopeFormats parsed from the configuration;public static ScopeFormats fromConfig(Configuration config) {_		String jmFormat = config.getString(MetricOptions.SCOPE_NAMING_JM)__		String jmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_JM_JOB)__		String tmFormat = config.getString(MetricOptions.SCOPE_NAMING_TM)__		String tmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_TM_JOB)__		String taskFormat = config.getString(MetricOptions.SCOPE_NAMING_TASK)__		String operatorFormat = config.getString(MetricOptions.SCOPE_NAMING_OPERATOR)___		return new ScopeFormats(jmFormat, jmJobFormat, tmFormat, tmJobFormat, taskFormat, operatorFormat)__	};creates,the,scope,formats,as,defined,in,the,given,configuration,param,config,the,configuration,that,defines,the,formats,return,the,scope,formats,parsed,from,the,configuration;public,static,scope,formats,from,config,configuration,config,string,jm,format,config,get,string,metric,options,string,jm,job,format,config,get,string,metric,options,string,tm,format,config,get,string,metric,options,string,tm,job,format,config,get,string,metric,options,string,task,format,config,get,string,metric,options,string,operator,format,config,get,string,metric,options,return,new,scope,formats,jm,format,jm,job,format,tm,format,tm,job,format,task,format,operator,format
ScopeFormats -> public static ScopeFormats fromConfig(Configuration config);1509375122;Creates the scope formats as defined in the given configuration.__@param config The configuration that defines the formats_@return The ScopeFormats parsed from the configuration;public static ScopeFormats fromConfig(Configuration config) {_		String jmFormat = config.getString(MetricOptions.SCOPE_NAMING_JM)__		String jmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_JM_JOB)__		String tmFormat = config.getString(MetricOptions.SCOPE_NAMING_TM)__		String tmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_TM_JOB)__		String taskFormat = config.getString(MetricOptions.SCOPE_NAMING_TASK)__		String operatorFormat = config.getString(MetricOptions.SCOPE_NAMING_OPERATOR)___		return new ScopeFormats(jmFormat, jmJobFormat, tmFormat, tmJobFormat, taskFormat, operatorFormat)__	};creates,the,scope,formats,as,defined,in,the,given,configuration,param,config,the,configuration,that,defines,the,formats,return,the,scope,formats,parsed,from,the,configuration;public,static,scope,formats,from,config,configuration,config,string,jm,format,config,get,string,metric,options,string,jm,job,format,config,get,string,metric,options,string,tm,format,config,get,string,metric,options,string,tm,job,format,config,get,string,metric,options,string,task,format,config,get,string,metric,options,string,operator,format,config,get,string,metric,options,return,new,scope,formats,jm,format,jm,job,format,tm,format,tm,job,format,task,format,operator,format
ScopeFormats -> public ScopeFormats( 			String jobManagerFormat, 			String jobManagerJobFormat, 			String taskManagerFormat, 			String taskManagerJobFormat, 			String taskFormat, 			String operatorFormat);1469183596;Creates all scope formats, based on the given scope format strings.;public ScopeFormats(_			String jobManagerFormat,_			String jobManagerJobFormat,_			String taskManagerFormat,_			String taskManagerJobFormat,_			String taskFormat,_			String operatorFormat)_	{_		this.jobManagerFormat = new JobManagerScopeFormat(jobManagerFormat)__		this.jobManagerJobFormat = new JobManagerJobScopeFormat(jobManagerJobFormat, this.jobManagerFormat)__		this.taskManagerFormat = new TaskManagerScopeFormat(taskManagerFormat)__		this.taskManagerJobFormat = new TaskManagerJobScopeFormat(taskManagerJobFormat, this.taskManagerFormat)__		this.taskFormat = new TaskScopeFormat(taskFormat, this.taskManagerJobFormat)__		this.operatorFormat = new OperatorScopeFormat(operatorFormat, this.taskFormat)__	};creates,all,scope,formats,based,on,the,given,scope,format,strings;public,scope,formats,string,job,manager,format,string,job,manager,job,format,string,task,manager,format,string,task,manager,job,format,string,task,format,string,operator,format,this,job,manager,format,new,job,manager,scope,format,job,manager,format,this,job,manager,job,format,new,job,manager,job,scope,format,job,manager,job,format,this,job,manager,format,this,task,manager,format,new,task,manager,scope,format,task,manager,format,this,task,manager,job,format,new,task,manager,job,scope,format,task,manager,job,format,this,task,manager,format,this,task,format,new,task,scope,format,task,format,this,task,manager,job,format,this,operator,format,new,operator,scope,format,operator,format,this,task,format
ScopeFormats -> public ScopeFormats( 			String jobManagerFormat, 			String jobManagerJobFormat, 			String taskManagerFormat, 			String taskManagerJobFormat, 			String taskFormat, 			String operatorFormat);1491479253;Creates all scope formats, based on the given scope format strings.;public ScopeFormats(_			String jobManagerFormat,_			String jobManagerJobFormat,_			String taskManagerFormat,_			String taskManagerJobFormat,_			String taskFormat,_			String operatorFormat)_	{_		this.jobManagerFormat = new JobManagerScopeFormat(jobManagerFormat)__		this.jobManagerJobFormat = new JobManagerJobScopeFormat(jobManagerJobFormat, this.jobManagerFormat)__		this.taskManagerFormat = new TaskManagerScopeFormat(taskManagerFormat)__		this.taskManagerJobFormat = new TaskManagerJobScopeFormat(taskManagerJobFormat, this.taskManagerFormat)__		this.taskFormat = new TaskScopeFormat(taskFormat, this.taskManagerJobFormat)__		this.operatorFormat = new OperatorScopeFormat(operatorFormat, this.taskFormat)__	};creates,all,scope,formats,based,on,the,given,scope,format,strings;public,scope,formats,string,job,manager,format,string,job,manager,job,format,string,task,manager,format,string,task,manager,job,format,string,task,format,string,operator,format,this,job,manager,format,new,job,manager,scope,format,job,manager,format,this,job,manager,job,format,new,job,manager,job,scope,format,job,manager,job,format,this,job,manager,format,this,task,manager,format,new,task,manager,scope,format,task,manager,format,this,task,manager,job,format,new,task,manager,job,scope,format,task,manager,job,format,this,task,manager,format,this,task,format,new,task,scope,format,task,format,this,task,manager,job,format,this,operator,format,new,operator,scope,format,operator,format,this,task,format
ScopeFormats -> public ScopeFormats( 			String jobManagerFormat, 			String jobManagerJobFormat, 			String taskManagerFormat, 			String taskManagerJobFormat, 			String taskFormat, 			String operatorFormat);1496241592;Creates all scope formats, based on the given scope format strings.;public ScopeFormats(_			String jobManagerFormat,_			String jobManagerJobFormat,_			String taskManagerFormat,_			String taskManagerJobFormat,_			String taskFormat,_			String operatorFormat) {_		this.jobManagerFormat = new JobManagerScopeFormat(jobManagerFormat)__		this.jobManagerJobFormat = new JobManagerJobScopeFormat(jobManagerJobFormat, this.jobManagerFormat)__		this.taskManagerFormat = new TaskManagerScopeFormat(taskManagerFormat)__		this.taskManagerJobFormat = new TaskManagerJobScopeFormat(taskManagerJobFormat, this.taskManagerFormat)__		this.taskFormat = new TaskScopeFormat(taskFormat, this.taskManagerJobFormat)__		this.operatorFormat = new OperatorScopeFormat(operatorFormat, this.taskFormat)__	};creates,all,scope,formats,based,on,the,given,scope,format,strings;public,scope,formats,string,job,manager,format,string,job,manager,job,format,string,task,manager,format,string,task,manager,job,format,string,task,format,string,operator,format,this,job,manager,format,new,job,manager,scope,format,job,manager,format,this,job,manager,job,format,new,job,manager,job,scope,format,job,manager,job,format,this,job,manager,format,this,task,manager,format,new,task,manager,scope,format,task,manager,format,this,task,manager,job,format,new,task,manager,job,scope,format,task,manager,job,format,this,task,manager,format,this,task,format,new,task,scope,format,task,format,this,task,manager,job,format,this,operator,format,new,operator,scope,format,operator,format,this,task,format
ScopeFormats -> public ScopeFormats( 			String jobManagerFormat, 			String jobManagerJobFormat, 			String taskManagerFormat, 			String taskManagerJobFormat, 			String taskFormat, 			String operatorFormat);1509372582;Creates all scope formats, based on the given scope format strings.;public ScopeFormats(_			String jobManagerFormat,_			String jobManagerJobFormat,_			String taskManagerFormat,_			String taskManagerJobFormat,_			String taskFormat,_			String operatorFormat) {_		this.jobManagerFormat = new JobManagerScopeFormat(jobManagerFormat)__		this.jobManagerJobFormat = new JobManagerJobScopeFormat(jobManagerJobFormat, this.jobManagerFormat)__		this.taskManagerFormat = new TaskManagerScopeFormat(taskManagerFormat)__		this.taskManagerJobFormat = new TaskManagerJobScopeFormat(taskManagerJobFormat, this.taskManagerFormat)__		this.taskFormat = new TaskScopeFormat(taskFormat, this.taskManagerJobFormat)__		this.operatorFormat = new OperatorScopeFormat(operatorFormat, this.taskFormat)__	};creates,all,scope,formats,based,on,the,given,scope,format,strings;public,scope,formats,string,job,manager,format,string,job,manager,job,format,string,task,manager,format,string,task,manager,job,format,string,task,format,string,operator,format,this,job,manager,format,new,job,manager,scope,format,job,manager,format,this,job,manager,job,format,new,job,manager,job,scope,format,job,manager,job,format,this,job,manager,format,this,task,manager,format,new,task,manager,scope,format,task,manager,format,this,task,manager,job,format,new,task,manager,job,scope,format,task,manager,job,format,this,task,manager,format,this,task,format,new,task,scope,format,task,format,this,task,manager,job,format,this,operator,format,new,operator,scope,format,operator,format,this,task,format
