# id;timestamp;commentText;codeText;commentWords;codeWords
SourceTransformation -> public StreamSource<T, ?> getOperator();1455549456;Returns the {@code StreamSource}, the operator of this {@code SourceTransformation}.;public StreamSource<T, ?> getOperator() {_		return operator__	};returns,the,code,stream,source,the,operator,of,this,code,source,transformation;public,stream,source,t,get,operator,return,operator
SourceTransformation -> public StreamSource<T, ?> getOperator();1493195810;Returns the {@code StreamSource}, the operator of this {@code SourceTransformation}.;public StreamSource<T, ?> getOperator() {_		return operator__	};returns,the,code,stream,source,the,operator,of,this,code,source,transformation;public,stream,source,t,get,operator,return,operator
SourceTransformation -> public StreamSource<T, ?> getOperator();1493195810;Returns the {@code StreamSource}, the operator of this {@code SourceTransformation}.;public StreamSource<T, ?> getOperator() {_		return operator__	};returns,the,code,stream,source,the,operator,of,this,code,source,transformation;public,stream,source,t,get,operator,return,operator
SourceTransformation -> public StreamSource<T, ?> getOperator();1495484544;Returns the {@code StreamSource}, the operator of this {@code SourceTransformation}.;public StreamSource<T, ?> getOperator() {_		return operator__	};returns,the,code,stream,source,the,operator,of,this,code,source,transformation;public,stream,source,t,get,operator,return,operator
SourceTransformation -> public SourceTransformation( 			String name, 			StreamSource<T, ?> operator, 			TypeInformation<T> outputType, 			int parallelism);1455549456;Creates a new {@code SourceTransformation} from the given operator.__@param name The name of the {@code SourceTransformation}, this will be shown in Visualizations and the Log_@param operator The {@code StreamSource} that is the operator of this Transformation_@param outputType The type of the elements produced by this {@code SourceTransformation}_@param parallelism The parallelism of this {@code SourceTransformation};public SourceTransformation(_			String name,_			StreamSource<T, ?> operator,_			TypeInformation<T> outputType,_			int parallelism) {_		super(name, outputType, parallelism)__		this.operator = operator__	};creates,a,new,code,source,transformation,from,the,given,operator,param,name,the,name,of,the,code,source,transformation,this,will,be,shown,in,visualizations,and,the,log,param,operator,the,code,stream,source,that,is,the,operator,of,this,transformation,param,output,type,the,type,of,the,elements,produced,by,this,code,source,transformation,param,parallelism,the,parallelism,of,this,code,source,transformation;public,source,transformation,string,name,stream,source,t,operator,type,information,t,output,type,int,parallelism,super,name,output,type,parallelism,this,operator,operator
SourceTransformation -> public SourceTransformation( 			String name, 			StreamSource<T, ?> operator, 			TypeInformation<T> outputType, 			int parallelism);1493195810;Creates a new {@code SourceTransformation} from the given operator.__@param name The name of the {@code SourceTransformation}, this will be shown in Visualizations and the Log_@param operator The {@code StreamSource} that is the operator of this Transformation_@param outputType The type of the elements produced by this {@code SourceTransformation}_@param parallelism The parallelism of this {@code SourceTransformation};public SourceTransformation(_			String name,_			StreamSource<T, ?> operator,_			TypeInformation<T> outputType,_			int parallelism) {_		super(name, outputType, parallelism)__		this.operator = operator__	};creates,a,new,code,source,transformation,from,the,given,operator,param,name,the,name,of,the,code,source,transformation,this,will,be,shown,in,visualizations,and,the,log,param,operator,the,code,stream,source,that,is,the,operator,of,this,transformation,param,output,type,the,type,of,the,elements,produced,by,this,code,source,transformation,param,parallelism,the,parallelism,of,this,code,source,transformation;public,source,transformation,string,name,stream,source,t,operator,type,information,t,output,type,int,parallelism,super,name,output,type,parallelism,this,operator,operator
SourceTransformation -> public SourceTransformation( 			String name, 			StreamSource<T, ?> operator, 			TypeInformation<T> outputType, 			int parallelism);1493195810;Creates a new {@code SourceTransformation} from the given operator.__@param name The name of the {@code SourceTransformation}, this will be shown in Visualizations and the Log_@param operator The {@code StreamSource} that is the operator of this Transformation_@param outputType The type of the elements produced by this {@code SourceTransformation}_@param parallelism The parallelism of this {@code SourceTransformation};public SourceTransformation(_			String name,_			StreamSource<T, ?> operator,_			TypeInformation<T> outputType,_			int parallelism) {_		super(name, outputType, parallelism)__		this.operator = operator__	};creates,a,new,code,source,transformation,from,the,given,operator,param,name,the,name,of,the,code,source,transformation,this,will,be,shown,in,visualizations,and,the,log,param,operator,the,code,stream,source,that,is,the,operator,of,this,transformation,param,output,type,the,type,of,the,elements,produced,by,this,code,source,transformation,param,parallelism,the,parallelism,of,this,code,source,transformation;public,source,transformation,string,name,stream,source,t,operator,type,information,t,output,type,int,parallelism,super,name,output,type,parallelism,this,operator,operator
SourceTransformation -> public SourceTransformation( 			String name, 			StreamSource<T, ?> operator, 			TypeInformation<T> outputType, 			int parallelism);1495484544;Creates a new {@code SourceTransformation} from the given operator.__@param name The name of the {@code SourceTransformation}, this will be shown in Visualizations and the Log_@param operator The {@code StreamSource} that is the operator of this Transformation_@param outputType The type of the elements produced by this {@code SourceTransformation}_@param parallelism The parallelism of this {@code SourceTransformation};public SourceTransformation(_			String name,_			StreamSource<T, ?> operator,_			TypeInformation<T> outputType,_			int parallelism) {_		super(name, outputType, parallelism)__		this.operator = operator__	};creates,a,new,code,source,transformation,from,the,given,operator,param,name,the,name,of,the,code,source,transformation,this,will,be,shown,in,visualizations,and,the,log,param,operator,the,code,stream,source,that,is,the,operator,of,this,transformation,param,output,type,the,type,of,the,elements,produced,by,this,code,source,transformation,param,parallelism,the,parallelism,of,this,code,source,transformation;public,source,transformation,string,name,stream,source,t,operator,type,information,t,output,type,int,parallelism,super,name,output,type,parallelism,this,operator,operator
SourceTransformation -> public StreamSource<T> getOperator();1445418103;Returns the {@code StreamSource}, the operator of this {@code SourceTransformation}.;public StreamSource<T> getOperator() {_		return operator__	};returns,the,code,stream,source,the,operator,of,this,code,source,transformation;public,stream,source,t,get,operator,return,operator
SourceTransformation -> public StreamSource<T> getOperator();1455486690;Returns the {@code StreamSource}, the operator of this {@code SourceTransformation}.;public StreamSource<T> getOperator() {_		return operator__	};returns,the,code,stream,source,the,operator,of,this,code,source,transformation;public,stream,source,t,get,operator,return,operator
SourceTransformation -> public SourceTransformation( 			String name, 			StreamSource<T> operator, 			TypeInformation<T> outputType, 			int parallelism);1445418103;Creates a new {@code SourceTransformation} from the given operator.__@param name The name of the {@code SourceTransformation}, this will be shown in Visualizations and the Log_@param operator The {@code StreamSource} that is the operator of this Transformation_@param outputType The type of the elements produced by this {@code SourceTransformation}_@param parallelism The parallelism of this {@code SourceTransformation};public SourceTransformation(_			String name,_			StreamSource<T> operator,_			TypeInformation<T> outputType,_			int parallelism) {_		super(name, outputType, parallelism)__		this.operator = operator__	};creates,a,new,code,source,transformation,from,the,given,operator,param,name,the,name,of,the,code,source,transformation,this,will,be,shown,in,visualizations,and,the,log,param,operator,the,code,stream,source,that,is,the,operator,of,this,transformation,param,output,type,the,type,of,the,elements,produced,by,this,code,source,transformation,param,parallelism,the,parallelism,of,this,code,source,transformation;public,source,transformation,string,name,stream,source,t,operator,type,information,t,output,type,int,parallelism,super,name,output,type,parallelism,this,operator,operator
