# id;timestamp;commentText;codeText;commentWords;codeWords
HttpMediaTypeNotSupportedException -> public MediaType getContentType();1356735495;Return the HTTP request content type method that caused the failure.;public MediaType getContentType() {_		return contentType__	};return,the,http,request,content,type,method,that,caused,the,failure;public,media,type,get,content,type,return,content,type
HttpMediaTypeNotSupportedException -> public MediaType getContentType();1366717989;Return the HTTP request content type method that caused the failure.;public MediaType getContentType() {_		return this.contentType__	};return,the,http,request,content,type,method,that,caused,the,failure;public,media,type,get,content,type,return,this,content,type
HttpMediaTypeNotSupportedException -> public MediaType getContentType();1496837955;Return the HTTP request content type method that caused the failure.;public MediaType getContentType() {_		return this.contentType__	};return,the,http,request,content,type,method,that,caused,the,failure;public,media,type,get,content,type,return,this,content,type
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(String message);1328020251;Create a new HttpMediaTypeNotSupportedException._@param message the exception message;public HttpMediaTypeNotSupportedException(String message) {_		super(message)__		this.contentType = null__	};create,a,new,http,media,type,not,supported,exception,param,message,the,exception,message;public,http,media,type,not,supported,exception,string,message,super,message,this,content,type,null
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(String message);1340398642;Create a new HttpMediaTypeNotSupportedException._@param message the exception message;public HttpMediaTypeNotSupportedException(String message) {_		super(message)__		this.contentType = null__	};create,a,new,http,media,type,not,supported,exception,param,message,the,exception,message;public,http,media,type,not,supported,exception,string,message,super,message,this,content,type,null
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(String message);1356735495;Create a new HttpMediaTypeNotSupportedException._@param message the exception message;public HttpMediaTypeNotSupportedException(String message) {_		super(message)__		this.contentType = null__	};create,a,new,http,media,type,not,supported,exception,param,message,the,exception,message;public,http,media,type,not,supported,exception,string,message,super,message,this,content,type,null
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(String message);1366717989;Create a new HttpMediaTypeNotSupportedException._@param message the exception message;public HttpMediaTypeNotSupportedException(String message) {_		super(message)__		this.contentType = null__	};create,a,new,http,media,type,not,supported,exception,param,message,the,exception,message;public,http,media,type,not,supported,exception,string,message,super,message,this,content,type,null
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(String message);1496837955;Create a new HttpMediaTypeNotSupportedException._@param message the exception message;public HttpMediaTypeNotSupportedException(String message) {_		super(message)__		this.contentType = null__	};create,a,new,http,media,type,not,supported,exception,param,message,the,exception,message;public,http,media,type,not,supported,exception,string,message,super,message,this,content,type,null
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(String message);1498780456;Create a new HttpMediaTypeNotSupportedException._@param message the exception message;public HttpMediaTypeNotSupportedException(String message) {_		super(message)__		this.contentType = null__	};create,a,new,http,media,type,not,supported,exception,param,message,the,exception,message;public,http,media,type,not,supported,exception,string,message,super,message,this,content,type,null
HttpMediaTypeNotSupportedException -> public HttpMediaTypeNotSupportedException(String message);1508532146;Create a new HttpMediaTypeNotSupportedException._@param message the exception message;public HttpMediaTypeNotSupportedException(String message) {_		super(message)__		this.contentType = null__	};create,a,new,http,media,type,not,supported,exception,param,message,the,exception,message;public,http,media,type,not,supported,exception,string,message,super,message,this,content,type,null
