# id;timestamp;commentText;codeText;commentWords;codeWords
InvalidPropertyException -> public Class getBeanClass();1328020251;Return the offending bean class.;public Class getBeanClass() {_		return beanClass__	};return,the,offending,bean,class;public,class,get,bean,class,return,bean,class
InvalidPropertyException -> public Class getBeanClass();1356735495;Return the offending bean class.;public Class getBeanClass() {_		return beanClass__	};return,the,offending,bean,class;public,class,get,bean,class,return,bean,class
InvalidPropertyException -> public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg, @Nullable Throwable cause);1496837955;Create a new InvalidPropertyException._@param beanClass the offending bean class_@param propertyName the offending property_@param msg the detail message_@param cause the root cause;public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg, @Nullable Throwable cause) {_		super("Invalid property '" + propertyName + "' of bean class [" + beanClass.getName() + "]: " + msg, cause)__		this.beanClass = beanClass__		this.propertyName = propertyName__	};create,a,new,invalid,property,exception,param,bean,class,the,offending,bean,class,param,property,name,the,offending,property,param,msg,the,detail,message,param,cause,the,root,cause;public,invalid,property,exception,class,bean,class,string,property,name,string,msg,nullable,throwable,cause,super,invalid,property,property,name,of,bean,class,bean,class,get,name,msg,cause,this,bean,class,bean,class,this,property,name,property,name
InvalidPropertyException -> public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg, @Nullable Throwable cause);1530174524;Create a new InvalidPropertyException._@param beanClass the offending bean class_@param propertyName the offending property_@param msg the detail message_@param cause the root cause;public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg, @Nullable Throwable cause) {_		super("Invalid property '" + propertyName + "' of bean class [" + beanClass.getName() + "]: " + msg, cause)__		this.beanClass = beanClass__		this.propertyName = propertyName__	};create,a,new,invalid,property,exception,param,bean,class,the,offending,bean,class,param,property,name,the,offending,property,param,msg,the,detail,message,param,cause,the,root,cause;public,invalid,property,exception,class,bean,class,string,property,name,string,msg,nullable,throwable,cause,super,invalid,property,property,name,of,bean,class,bean,class,get,name,msg,cause,this,bean,class,bean,class,this,property,name,property,name
InvalidPropertyException -> public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg, @Nullable Throwable cause);1530174524;Create a new InvalidPropertyException._@param beanClass the offending bean class_@param propertyName the offending property_@param msg the detail message_@param cause the root cause;public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg, @Nullable Throwable cause) {_		super("Invalid property '" + propertyName + "' of bean class [" + beanClass.getName() + "]: " + msg, cause)__		this.beanClass = beanClass__		this.propertyName = propertyName__	};create,a,new,invalid,property,exception,param,bean,class,the,offending,bean,class,param,property,name,the,offending,property,param,msg,the,detail,message,param,cause,the,root,cause;public,invalid,property,exception,class,bean,class,string,property,name,string,msg,nullable,throwable,cause,super,invalid,property,property,name,of,bean,class,bean,class,get,name,msg,cause,this,bean,class,bean,class,this,property,name,property,name
InvalidPropertyException -> public InvalidPropertyException(Class beanClass, String propertyName, String msg, Throwable cause);1328020251;Create a new InvalidPropertyException._@param beanClass the offending bean class_@param propertyName the offending property_@param msg the detail message_@param cause the root cause;public InvalidPropertyException(Class beanClass, String propertyName, String msg, Throwable cause) {_		super("Invalid property '" + propertyName + "' of bean class [" + beanClass.getName() + "]: " + msg, cause)__		this.beanClass = beanClass__		this.propertyName = propertyName__	};create,a,new,invalid,property,exception,param,bean,class,the,offending,bean,class,param,property,name,the,offending,property,param,msg,the,detail,message,param,cause,the,root,cause;public,invalid,property,exception,class,bean,class,string,property,name,string,msg,throwable,cause,super,invalid,property,property,name,of,bean,class,bean,class,get,name,msg,cause,this,bean,class,bean,class,this,property,name,property,name
InvalidPropertyException -> public InvalidPropertyException(Class beanClass, String propertyName, String msg, Throwable cause);1356735495;Create a new InvalidPropertyException._@param beanClass the offending bean class_@param propertyName the offending property_@param msg the detail message_@param cause the root cause;public InvalidPropertyException(Class beanClass, String propertyName, String msg, Throwable cause) {_		super("Invalid property '" + propertyName + "' of bean class [" + beanClass.getName() + "]: " + msg, cause)__		this.beanClass = beanClass__		this.propertyName = propertyName__	};create,a,new,invalid,property,exception,param,bean,class,the,offending,bean,class,param,property,name,the,offending,property,param,msg,the,detail,message,param,cause,the,root,cause;public,invalid,property,exception,class,bean,class,string,property,name,string,msg,throwable,cause,super,invalid,property,property,name,of,bean,class,bean,class,get,name,msg,cause,this,bean,class,bean,class,this,property,name,property,name
InvalidPropertyException -> public Class<?> getBeanClass();1385412762;Return the offending bean class.;public Class<?> getBeanClass() {_		return beanClass__	};return,the,offending,bean,class;public,class,get,bean,class,return,bean,class
InvalidPropertyException -> public Class<?> getBeanClass();1496837955;Return the offending bean class.;public Class<?> getBeanClass() {_		return beanClass__	};return,the,offending,bean,class;public,class,get,bean,class,return,bean,class
InvalidPropertyException -> public Class<?> getBeanClass();1530174524;Return the offending bean class.;public Class<?> getBeanClass() {_		return beanClass__	};return,the,offending,bean,class;public,class,get,bean,class,return,bean,class
InvalidPropertyException -> public Class<?> getBeanClass();1530174524;Return the offending bean class.;public Class<?> getBeanClass() {_		return this.beanClass__	};return,the,offending,bean,class;public,class,get,bean,class,return,this,bean,class
InvalidPropertyException -> public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg);1385412762;Create a new InvalidPropertyException._@param beanClass the offending bean class_@param propertyName the offending property_@param msg the detail message;public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg) {_		this(beanClass, propertyName, msg, null)__	};create,a,new,invalid,property,exception,param,bean,class,the,offending,bean,class,param,property,name,the,offending,property,param,msg,the,detail,message;public,invalid,property,exception,class,bean,class,string,property,name,string,msg,this,bean,class,property,name,msg,null
InvalidPropertyException -> public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg);1496837955;Create a new InvalidPropertyException._@param beanClass the offending bean class_@param propertyName the offending property_@param msg the detail message;public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg) {_		this(beanClass, propertyName, msg, null)__	};create,a,new,invalid,property,exception,param,bean,class,the,offending,bean,class,param,property,name,the,offending,property,param,msg,the,detail,message;public,invalid,property,exception,class,bean,class,string,property,name,string,msg,this,bean,class,property,name,msg,null
InvalidPropertyException -> public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg);1530174524;Create a new InvalidPropertyException._@param beanClass the offending bean class_@param propertyName the offending property_@param msg the detail message;public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg) {_		this(beanClass, propertyName, msg, null)__	};create,a,new,invalid,property,exception,param,bean,class,the,offending,bean,class,param,property,name,the,offending,property,param,msg,the,detail,message;public,invalid,property,exception,class,bean,class,string,property,name,string,msg,this,bean,class,property,name,msg,null
InvalidPropertyException -> public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg);1530174524;Create a new InvalidPropertyException._@param beanClass the offending bean class_@param propertyName the offending property_@param msg the detail message;public InvalidPropertyException(Class<?> beanClass, String propertyName, String msg) {_		this(beanClass, propertyName, msg, null)__	};create,a,new,invalid,property,exception,param,bean,class,the,offending,bean,class,param,property,name,the,offending,property,param,msg,the,detail,message;public,invalid,property,exception,class,bean,class,string,property,name,string,msg,this,bean,class,property,name,msg,null
InvalidPropertyException -> public InvalidPropertyException(Class beanClass, String propertyName, String msg);1328020251;Create a new InvalidPropertyException._@param beanClass the offending bean class_@param propertyName the offending property_@param msg the detail message;public InvalidPropertyException(Class beanClass, String propertyName, String msg) {_		this(beanClass, propertyName, msg, null)__	};create,a,new,invalid,property,exception,param,bean,class,the,offending,bean,class,param,property,name,the,offending,property,param,msg,the,detail,message;public,invalid,property,exception,class,bean,class,string,property,name,string,msg,this,bean,class,property,name,msg,null
InvalidPropertyException -> public InvalidPropertyException(Class beanClass, String propertyName, String msg);1356735495;Create a new InvalidPropertyException._@param beanClass the offending bean class_@param propertyName the offending property_@param msg the detail message;public InvalidPropertyException(Class beanClass, String propertyName, String msg) {_		this(beanClass, propertyName, msg, null)__	};create,a,new,invalid,property,exception,param,bean,class,the,offending,bean,class,param,property,name,the,offending,property,param,msg,the,detail,message;public,invalid,property,exception,class,bean,class,string,property,name,string,msg,this,bean,class,property,name,msg,null
InvalidPropertyException -> public String getPropertyName();1328020251;Return the name of the offending property.;public String getPropertyName() {_		return propertyName__	};return,the,name,of,the,offending,property;public,string,get,property,name,return,property,name
InvalidPropertyException -> public String getPropertyName();1356735495;Return the name of the offending property.;public String getPropertyName() {_		return propertyName__	};return,the,name,of,the,offending,property;public,string,get,property,name,return,property,name
InvalidPropertyException -> public String getPropertyName();1385412762;Return the name of the offending property.;public String getPropertyName() {_		return propertyName__	};return,the,name,of,the,offending,property;public,string,get,property,name,return,property,name
InvalidPropertyException -> public String getPropertyName();1496837955;Return the name of the offending property.;public String getPropertyName() {_		return propertyName__	};return,the,name,of,the,offending,property;public,string,get,property,name,return,property,name
InvalidPropertyException -> public String getPropertyName();1530174524;Return the name of the offending property.;public String getPropertyName() {_		return propertyName__	};return,the,name,of,the,offending,property;public,string,get,property,name,return,property,name
InvalidPropertyException -> public String getPropertyName();1530174524;Return the name of the offending property.;public String getPropertyName() {_		return this.propertyName__	};return,the,name,of,the,offending,property;public,string,get,property,name,return,this,property,name
