commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String getValue() {     return value. }
true;public;1;3;/**  * Value of type such as class name or regular expression  */ ;/**  * Value of type such as class name or regular expression  */ public void setValue(String value) {     this.value = value. }
false;public;0;3;;public YAMLTypeFilterType getType() {     return type. }
true;public;1;3;/**  * Whether to filter by class type or regular expression  */ ;/**  * Whether to filter by class type or regular expression  */ public void setType(YAMLTypeFilterType type) {     this.type = type. }
