# id;timestamp;commentText;codeText;commentWords;codeWords
HeapAggregatingState -> public HeapAggregatingState( 			AggregatingStateDescriptor<IN, ACC, OUT> stateDesc, 			StateTable<K, N, ACC> stateTable, 			TypeSerializer<K> keySerializer, 			TypeSerializer<N> namespaceSerializer);1488534675;Creates a new key/value state for the given hash map of key/value pairs.__@param stateDesc_The state identifier for the state. This contains name and can create a default state value._@param stateTable_The state table to use in this kev/value state. May contain initial state._@param namespaceSerializer_The serializer for the type that indicates the namespace;public HeapAggregatingState(_			AggregatingStateDescriptor<IN, ACC, OUT> stateDesc,_			StateTable<K, N, ACC> stateTable,_			TypeSerializer<K> keySerializer,_			TypeSerializer<N> namespaceSerializer) {__		super(stateDesc, stateTable, keySerializer, namespaceSerializer)__		this.aggregateTransformation = new AggregateTransformation<>(stateDesc.getAggregateFunction())__	};creates,a,new,key,value,state,for,the,given,hash,map,of,key,value,pairs,param,state,desc,the,state,identifier,for,the,state,this,contains,name,and,can,create,a,default,state,value,param,state,table,the,state,table,to,use,in,this,kev,value,state,may,contain,initial,state,param,namespace,serializer,the,serializer,for,the,type,that,indicates,the,namespace;public,heap,aggregating,state,aggregating,state,descriptor,in,acc,out,state,desc,state,table,k,n,acc,state,table,type,serializer,k,key,serializer,type,serializer,n,namespace,serializer,super,state,desc,state,table,key,serializer,namespace,serializer,this,aggregate,transformation,new,aggregate,transformation,state,desc,get,aggregate,function
HeapAggregatingState -> public HeapAggregatingState( 			AggregatingStateDescriptor<IN, ACC, OUT> stateDesc, 			StateTable<K, N, ACC> stateTable, 			TypeSerializer<K> keySerializer, 			TypeSerializer<N> namespaceSerializer);1507915021;Creates a new key/value state for the given hash map of key/value pairs.__@param stateDesc_The state identifier for the state. This contains name and can create a default state value._@param stateTable_The state table to use in this kev/value state. May contain initial state._@param namespaceSerializer_The serializer for the type that indicates the namespace;public HeapAggregatingState(_			AggregatingStateDescriptor<IN, ACC, OUT> stateDesc,_			StateTable<K, N, ACC> stateTable,_			TypeSerializer<K> keySerializer,_			TypeSerializer<N> namespaceSerializer) {__		super(stateDesc, stateTable, keySerializer, namespaceSerializer)__		this.aggregateTransformation = new AggregateTransformation<>(stateDesc.getAggregateFunction())__	};creates,a,new,key,value,state,for,the,given,hash,map,of,key,value,pairs,param,state,desc,the,state,identifier,for,the,state,this,contains,name,and,can,create,a,default,state,value,param,state,table,the,state,table,to,use,in,this,kev,value,state,may,contain,initial,state,param,namespace,serializer,the,serializer,for,the,type,that,indicates,the,namespace;public,heap,aggregating,state,aggregating,state,descriptor,in,acc,out,state,desc,state,table,k,n,acc,state,table,type,serializer,k,key,serializer,type,serializer,n,namespace,serializer,super,state,desc,state,table,key,serializer,namespace,serializer,this,aggregate,transformation,new,aggregate,transformation,state,desc,get,aggregate,function
HeapAggregatingState -> public HeapAggregatingState( 			AggregatingStateDescriptor<IN, ACC, OUT> stateDesc, 			StateTable<K, N, ACC> stateTable, 			TypeSerializer<K> keySerializer, 			TypeSerializer<N> namespaceSerializer);1520632055;Creates a new key/value state for the given hash map of key/value pairs.__@param stateDesc_The state identifier for the state. This contains name and can create a default state value._@param stateTable_The state table to use in this kev/value state. May contain initial state._@param namespaceSerializer_The serializer for the type that indicates the namespace;public HeapAggregatingState(_			AggregatingStateDescriptor<IN, ACC, OUT> stateDesc,_			StateTable<K, N, ACC> stateTable,_			TypeSerializer<K> keySerializer,_			TypeSerializer<N> namespaceSerializer) {__		super(stateDesc, stateTable, keySerializer, namespaceSerializer)__		this.aggregateTransformation = new AggregateTransformation<>(stateDesc.getAggregateFunction())__	};creates,a,new,key,value,state,for,the,given,hash,map,of,key,value,pairs,param,state,desc,the,state,identifier,for,the,state,this,contains,name,and,can,create,a,default,state,value,param,state,table,the,state,table,to,use,in,this,kev,value,state,may,contain,initial,state,param,namespace,serializer,the,serializer,for,the,type,that,indicates,the,namespace;public,heap,aggregating,state,aggregating,state,descriptor,in,acc,out,state,desc,state,table,k,n,acc,state,table,type,serializer,k,key,serializer,type,serializer,n,namespace,serializer,super,state,desc,state,table,key,serializer,namespace,serializer,this,aggregate,transformation,new,aggregate,transformation,state,desc,get,aggregate,function
HeapAggregatingState -> public HeapAggregatingState( 			AggregatingStateDescriptor<IN, ACC, OUT> stateDesc, 			StateTable<K, N, ACC> stateTable, 			TypeSerializer<K> keySerializer, 			TypeSerializer<N> namespaceSerializer);1521015764;Creates a new key/value state for the given hash map of key/value pairs.__@param stateDesc_The state identifier for the state. This contains name and can create a default state value._@param stateTable_The state table to use in this kev/value state. May contain initial state._@param namespaceSerializer_The serializer for the type that indicates the namespace;public HeapAggregatingState(_			AggregatingStateDescriptor<IN, ACC, OUT> stateDesc,_			StateTable<K, N, ACC> stateTable,_			TypeSerializer<K> keySerializer,_			TypeSerializer<N> namespaceSerializer) {__		super(stateDesc, stateTable, keySerializer, namespaceSerializer)__		this.aggregateTransformation = new AggregateTransformation<>(stateDesc.getAggregateFunction())__	};creates,a,new,key,value,state,for,the,given,hash,map,of,key,value,pairs,param,state,desc,the,state,identifier,for,the,state,this,contains,name,and,can,create,a,default,state,value,param,state,table,the,state,table,to,use,in,this,kev,value,state,may,contain,initial,state,param,namespace,serializer,the,serializer,for,the,type,that,indicates,the,namespace;public,heap,aggregating,state,aggregating,state,descriptor,in,acc,out,state,desc,state,table,k,n,acc,state,table,type,serializer,k,key,serializer,type,serializer,n,namespace,serializer,super,state,desc,state,table,key,serializer,namespace,serializer,this,aggregate,transformation,new,aggregate,transformation,state,desc,get,aggregate,function
