# id;timestamp;commentText;codeText;commentWords;codeWords
Message -> MessageHeaders getHeaders()_;1373651081;Returns message headers for the message (never {@code null}).;MessageHeaders getHeaders()_;returns,message,headers,for,the,message,never,code,null;message,headers,get,headers
Message -> MessageHeaders getHeaders()_;1386297052;Return message headers for the message, never {@code null}.;MessageHeaders getHeaders()_;return,message,headers,for,the,message,never,code,null;message,headers,get,headers
Message -> MessageHeaders getHeaders()_;1386350678;Return message headers for the message, never {@code null}.;MessageHeaders getHeaders()_;return,message,headers,for,the,message,never,code,null;message,headers,get,headers
Message -> MessageHeaders getHeaders()_;1404937535;Return message headers for the message (never {@code null}).;MessageHeaders getHeaders()_;return,message,headers,for,the,message,never,code,null;message,headers,get,headers
Message -> MessageHeaders getHeaders()_;1408740957;Return message headers for the message (never {@code null} but may be empty).;MessageHeaders getHeaders()_;return,message,headers,for,the,message,never,code,null,but,may,be,empty;message,headers,get,headers
Message -> MessageHeaders getHeaders()_;1530174524;Return message headers for the message (never {@code null} but may be empty).;MessageHeaders getHeaders()_;return,message,headers,for,the,message,never,code,null,but,may,be,empty;message,headers,get,headers
Message -> T getPayload()_;1373651081;Returns the message payload.;T getPayload()_;returns,the,message,payload;t,get,payload
Message -> T getPayload()_;1386297052;Return the message payload.;T getPayload()_;return,the,message,payload;t,get,payload
Message -> T getPayload()_;1386350678;Return the message payload.;T getPayload()_;return,the,message,payload;t,get,payload
Message -> T getPayload()_;1404937535;Return the message payload.;T getPayload()_;return,the,message,payload;t,get,payload
Message -> T getPayload()_;1408740957;Return the message payload.;T getPayload()_;return,the,message,payload;t,get,payload
Message -> T getPayload()_;1530174524;Return the message payload.;T getPayload()_;return,the,message,payload;t,get,payload
