# id;timestamp;commentText;codeText;commentWords;codeWords
DispatcherThreadFactory -> public DispatcherThreadFactory(ThreadGroup group, String threadName);1442921120;Creates a new thread factory.__@param group The group that the threads will be associated with._@param threadName The name for the threads.;public DispatcherThreadFactory(ThreadGroup group, String threadName) {_		this.group = group__		this.threadName = threadName__	};creates,a,new,thread,factory,param,group,the,group,that,the,threads,will,be,associated,with,param,thread,name,the,name,for,the,threads;public,dispatcher,thread,factory,thread,group,group,string,thread,name,this,group,group,this,thread,name,thread,name
DispatcherThreadFactory -> public DispatcherThreadFactory(ThreadGroup group, String threadName);1510302342;Creates a new thread factory.__@param group The group that the threads will be associated with._@param threadName The name for the threads.;public DispatcherThreadFactory(ThreadGroup group, String threadName) {_		this(group, threadName, null)__	};creates,a,new,thread,factory,param,group,the,group,that,the,threads,will,be,associated,with,param,thread,name,the,name,for,the,threads;public,dispatcher,thread,factory,thread,group,group,string,thread,name,this,group,thread,name,null
DispatcherThreadFactory -> public DispatcherThreadFactory(ThreadGroup group, String threadName);1520522528;Creates a new thread factory.__@param group The group that the threads will be associated with._@param threadName The name for the threads.;public DispatcherThreadFactory(ThreadGroup group, String threadName) {_		this(group, threadName, null)__	};creates,a,new,thread,factory,param,group,the,group,that,the,threads,will,be,associated,with,param,thread,name,the,name,for,the,threads;public,dispatcher,thread,factory,thread,group,group,string,thread,name,this,group,thread,name,null
DispatcherThreadFactory -> public DispatcherThreadFactory( 			ThreadGroup group, 			String threadName, 			@Nullable ClassLoader classLoader);1510302342;Creates a new thread factory.__@param group The group that the threads will be associated with._@param threadName The name for the threads._@param classLoader The {@link ClassLoader} to be set as context class loader.;public DispatcherThreadFactory(_			ThreadGroup group,_			String threadName,_			@Nullable ClassLoader classLoader) {_		this.group = group__		this.threadName = threadName__		this.classLoader = classLoader__	};creates,a,new,thread,factory,param,group,the,group,that,the,threads,will,be,associated,with,param,thread,name,the,name,for,the,threads,param,class,loader,the,link,class,loader,to,be,set,as,context,class,loader;public,dispatcher,thread,factory,thread,group,group,string,thread,name,nullable,class,loader,class,loader,this,group,group,this,thread,name,thread,name,this,class,loader,class,loader
DispatcherThreadFactory -> public DispatcherThreadFactory( 			ThreadGroup group, 			String threadName, 			@Nullable ClassLoader classLoader);1520522528;Creates a new thread factory.__@param group The group that the threads will be associated with._@param threadName The name for the threads._@param classLoader The {@link ClassLoader} to be set as context class loader.;public DispatcherThreadFactory(_			ThreadGroup group,_			String threadName,_			@Nullable ClassLoader classLoader) {_		this.group = group__		this.threadName = threadName__		this.classLoader = classLoader__	};creates,a,new,thread,factory,param,group,the,group,that,the,threads,will,be,associated,with,param,thread,name,the,name,for,the,threads,param,class,loader,the,link,class,loader,to,be,set,as,context,class,loader;public,dispatcher,thread,factory,thread,group,group,string,thread,name,nullable,class,loader,class,loader,this,group,group,this,thread,name,thread,name,this,class,loader,class,loader
