# id;timestamp;commentText;codeText;commentWords;codeWords
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder clear();1524684173;Do not include any data;public ClusterStateRequestBuilder clear() {_        request.clear()__        return this__    };do,not,include,any,data;public,cluster,state,request,builder,clear,request,clear,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder clear();1525334055;Do not include any data;public ClusterStateRequestBuilder clear() {_        request.clear()__        return this__    };do,not,include,any,data;public,cluster,state,request,builder,clear,request,clear,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder clear();1540847035;Do not include any data;public ClusterStateRequestBuilder clear() {_        request.clear()__        return this__    };do,not,include,any,data;public,cluster,state,request,builder,clear,request,clear,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setRoutingTable(boolean filter);1524684173;Should the cluster state result include the {@link org.elasticsearch.cluster.routing.RoutingTable}. Defaults_to <tt>true</tt>.;public ClusterStateRequestBuilder setRoutingTable(boolean filter) {_        request.routingTable(filter)__        return this__    };should,the,cluster,state,result,include,the,link,org,elasticsearch,cluster,routing,routing,table,defaults,to,tt,true,tt;public,cluster,state,request,builder,set,routing,table,boolean,filter,request,routing,table,filter,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setRoutingTable(boolean filter);1525334055;Should the cluster state result include the {@link org.elasticsearch.cluster.routing.RoutingTable}. Defaults_to {@code true}.;public ClusterStateRequestBuilder setRoutingTable(boolean filter) {_        request.routingTable(filter)__        return this__    };should,the,cluster,state,result,include,the,link,org,elasticsearch,cluster,routing,routing,table,defaults,to,code,true;public,cluster,state,request,builder,set,routing,table,boolean,filter,request,routing,table,filter,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setRoutingTable(boolean filter);1540847035;Should the cluster state result include the {@link org.elasticsearch.cluster.routing.RoutingTable}. Defaults_to {@code true}.;public ClusterStateRequestBuilder setRoutingTable(boolean filter) {_        request.routingTable(filter)__        return this__    };should,the,cluster,state,result,include,the,link,org,elasticsearch,cluster,routing,routing,table,defaults,to,code,true;public,cluster,state,request,builder,set,routing,table,boolean,filter,request,routing,table,filter,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setIndices(String... indices);1524684173;When {@link #setMetaData(boolean)} is set, which indices to return the {@link org.elasticsearch.cluster.metadata.IndexMetaData}_for. Defaults to all indices.;public ClusterStateRequestBuilder setIndices(String... indices) {_        request.indices(indices)__        return this__    };when,link,set,meta,data,boolean,is,set,which,indices,to,return,the,link,org,elasticsearch,cluster,metadata,index,meta,data,for,defaults,to,all,indices;public,cluster,state,request,builder,set,indices,string,indices,request,indices,indices,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setIndices(String... indices);1525334055;When {@link #setMetaData(boolean)} is set, which indices to return the {@link org.elasticsearch.cluster.metadata.IndexMetaData}_for. Defaults to all indices.;public ClusterStateRequestBuilder setIndices(String... indices) {_        request.indices(indices)__        return this__    };when,link,set,meta,data,boolean,is,set,which,indices,to,return,the,link,org,elasticsearch,cluster,metadata,index,meta,data,for,defaults,to,all,indices;public,cluster,state,request,builder,set,indices,string,indices,request,indices,indices,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setIndices(String... indices);1540847035;When {@link #setMetaData(boolean)} is set, which indices to return the {@link org.elasticsearch.cluster.metadata.IndexMetaData}_for. Defaults to all indices.;public ClusterStateRequestBuilder setIndices(String... indices) {_        request.indices(indices)__        return this__    };when,link,set,meta,data,boolean,is,set,which,indices,to,return,the,link,org,elasticsearch,cluster,metadata,index,meta,data,for,defaults,to,all,indices;public,cluster,state,request,builder,set,indices,string,indices,request,indices,indices,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder all();1524684173;Include all data;public ClusterStateRequestBuilder all() {_        request.all()__        return this__    };include,all,data;public,cluster,state,request,builder,all,request,all,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder all();1525334055;Include all data;public ClusterStateRequestBuilder all() {_        request.all()__        return this__    };include,all,data;public,cluster,state,request,builder,all,request,all,return,this
